position,song,artist
1,LAST CHRISTMAS,WHAM
2,THAT'S SO TRUE,GRACIE ABRAMS
3,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY
4,IT CAN'T BE CHRISTMAS,TOM GRENNAN
5,APT,ROSE & BRUNO MARS
6,ROCKIN' AROUND THE CHRISTMAS TREE,BRENDA LEE
7,MESSY,LOLA YOUNG
8,JINGLE BELL ROCK,BOBBY HELMS
9,SANTA TELL ME,ARIANA GRANDE
10,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL
11,UNDERNEATH THE TREE,KELLY CLARKSON
12,DO THEY KNOW IT'S CHRISTMAS,BAND AID
13,IT'S THE MOST WONDERFUL TIME OF THE YEAR,ANDY WILLIAMS
14,MERRY CHRISTMAS EVERYONE,SHAKIN' STEVENS
15,STEP INTO CHRISTMAS,ELTON JOHN
16,A NONSENSE CHRISTMAS,SABRINA CARPENTER
17,IT'S BEGINNING TO LOOK A LOT LIKE,MICHAEL BUBLE
18,WONDERFUL CHRISTMASTIME,PAUL MCCARTNEY
19,CHRISTMAS MAGIC,LAUFEY
20,DEFYING GRAVITY,CYNTHIA ERIVO/ARIANA GRANDE
21,FELIZ NAVIDAD,JOSE FELICIANO
22,SLEIGH RIDE,RONETTES
23,SNOWMAN,SIA
24,LET IT SNOW LET IT SNOW LET IT SNOW,DEAN MARTIN
25,DRIVING HOME FOR CHRISTMAS,CHRIS REA
26,THE DAYS,CHRYSTAL
27,HOLLY JOLLY CHRISTMAS,MICHAEL BUBLE
28,I WISH IT COULD BE CHRISTMAS EVERYDAY,WIZZARD
29,HAPPY XMAS (WAR IS OVER),JOHN & YOKO/PLASTIC ONO BAND
30,MERRY XMAS EVERYBODY,SLADE
31,DIRTY,KSI
32,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
33,MERRY CHRISTMAS,ED SHEERAN & ELTON JOHN
34,SAILOR SONG,GIGI PEREZ
35,TIMELESS,WEEKND/PLAYBOI CARTI
36,ONE MORE SLEEP,LEONA LEWIS
37,FREEZING THIS CHRISTMAS,SIR STARMER & GRANNY HARMERS
38,BED CHEM,SABRINA CARPENTER
39,WHAT IS THIS FEELING,ARIANA GRANDE/CYNTHIA ERIVO
40,WINTER WONDERLAND,LAUFEY
